	Archangel	Gold Dragon	Titan	Arch Devil	Ghost Dragon	Black Dragon	Ancient Behemoth	Chaos Hydra	Phoenix	Angel	Green Dragon	Giant	Devil	Bone Dragon	Red Dragon	Behemoth	Hydra	Firebird	Champion	War Unicorn	Naga Queen	Efreet Sultan	Dread Knight	Scorpicore	Cyclops King	Wyvern Monarch	Magic Elemental	Cavalier	Unicorn	Naga	Efreeti	Black Knight	Manticore	Cyclops	Wyvern	Psychic Elemental	Zealot	Dendroid Soldier	Master Genie	Pit Lord	Power Lich	Minotaur King	Thunderbird	Greater Basilisk	Magma Elemental	Monk	Dendroid Guard	Genie	Pit Fiend	Lich	Minotaur	Roc	Basilisk	Earth Elemental	Crusader	Silver Pegasus	Arch Mage	Horned Demon	Vampire Lord	Medusa Queen	Ogre Mage	Dragon Fly	Energy Elemental	Swordsman	Pegasus	Mage	Demon	Vampire	Medusa	Ogre	Serpent Fly	Fire Elemental	Royal Griffin	Grand Elf	Iron Golem	Cerberus	Wraith	Evil Eye	Orc Chieftain	Mighty Gorgon	Ice Elemental	Griffin	Wood Elf	Stone Golem	Hell Hound	Wight	Beholder	Orc	Gorgon	Water Elemental	Marksman	Battle Dwarf	Obsidian Gargoyle	Magog	Zombie	Harpy Hag	Wolf Raider	Lizard Warrior	Storm Elemental	Archer	Dwarf	Stone Gargoyle	Gog	Walking Dead	Harpy	Wolf Rider	Lizardman	Air Elemental	Halberdier	Centaur Captain	Master Gremlin	Familiar	Skeleton Warrior	Infernal Troglodyte	Hobgoblin	Gnoll Marauder	Sprite	Pikeman	Centaur	Gremlin	Imp	Skeleton	Troglodyte	Goblin	Gnoll	Pixie
Archangel		"1 vs 1..2: 100..0%
10 vs 11..12: 100..0%
100 vs 120..120: 100..0%"	"1 vs 0..1: 100..0%
10 vs 10..11: 100..0%
100 vs 104..104: 100..0%"	"1 vs 1..2: 100..0%
10 vs 11..12: 100..0%
100 vs 119..120: 100..0%"	"1 vs 2..3: 100..0%
10 vs 20..21: 100..0%
100 vs 200..200: 100..0%"	"1 vs 1..2: 100..0%
10 vs 11..12: 100..0%
100 vs 115..116: 100..0%"	"1 vs 1..2: 100..0%
10 vs 15..16: 100..0%
100 vs 155..156: 100..0%"	"1 vs 1..2: 100..0%
10 vs 15..16: 100..0%
100 vs 154..154: 100..0%"	"1 vs 2..3: 100..0%
10 vs 19..20: 100..0%
100 vs 188..189: 100..0%"	"1 vs 1..2: 100..0%
10 vs 16..17: 100..0%
100 vs 162..163: 100..0%"	"1 vs 2..2: 100..0%
10 vs 19..20: 100..0%
100 vs 199..200: 100..0%"	"1 vs 2..3: 100..0%
10 vs 21..22: 100..0%
100 vs 217..217: 100..0%"	"1 vs 1..2: 100..0%
10 vs 19..20: 100..0%
100 vs 192..192: 100..0%"	"1 vs 3..4: 100..0%
10 vs 25..26: 100..0%
100 vs 256..256: 100..0%"	"1 vs 2..3: 100..0%
10 vs 19..20: 100..0%
100 vs 188..188: 100..0%"	"1 vs 2..3: 100..0%
10 vs 23..24: 100..0%
100 vs 232..233: 100..0%"	"1 vs 2..3: 100..0%
10 vs 22..23: 100..0%
100 vs 217..218: 100..0%"	"1 vs 2..3: 100..0%
10 vs 24..25: 100..0%
100 vs 237..238: 100..0%"	"1 vs 5..6: 100..0%
10 vs 41..42: 100..0%
100 vs 406..407: 100..0%"	"1 vs 5..6: 100..0%
10 vs 44..45: 100..0%
100 vs 423..424: 100..0%"	"1 vs 3..4: 100..0%
10 vs 31..32: 100..0%
100 vs 313..314: 100..0%"	"1 vs 5..6: 100..0%
10 vs 40..40: 100..0%
100 vs 388..389: 100..0%"	"1 vs 4..5: 100..0%
10 vs 36..36: 100..0%
100 vs 350..350: 100..0%"	"1 vs 6..7: 100..0%
10 vs 53..54: 100..0%
100 vs 513..514: 100..0%"	"1 vs 7..8: 100..0%
10 vs 60..61: 100..0%
100 vs 595..596: 100..0%"	"1 vs 6..7: 100..0%
10 vs 53..54: 100..0%
100 vs 534..535: 100..0%"	"1 vs 6..7: 100..0%
10 vs 51..51: 100..0%
100 vs 514..515: 100..0%"	"1 vs 5..6: 100..0%
10 vs 46..46: 100..0%
100 vs 440..441: 100..0%"	"1 vs 6..7: 100..0%
10 vs 49..50: 100..0%
100 vs 477..477: 100..0%"	"1 vs 4..5: 100..0%
10 vs 40..41: 100..0%
100 vs 392..393: 100..0%"	"1 vs 6..7: 100..0%
10 vs 49..50: 100..0%
100 vs 483..483: 100..0%"	"1 vs 4..5: 100..0%
10 vs 37..38: 100..0%
100 vs 359..360: 100..0%"	"1 vs 7..8: 100..0%
10 vs 57..58: 100..0%
100 vs 552..553: 100..0%"	"1 vs 8..9: 100..0%
10 vs 63..64: 100..0%
100 vs 622..623: 100..0%"	"1 vs 8..8: 100..0%
10 vs 61..62: 100..0%
100 vs 616..616: 100..0%"	"1 vs 7..8: 100..0%
10 vs 63..64: 100..0%
100 vs 607..607: 100..0%"	"1 vs 14..15: 100..0%
10 vs 116..117: 100..0%
100 vs 1141..1142: 100..0%"	"1 vs 11..12: 100..0%
10 vs 87..88: 100..0%
100 vs 853..853: 100..0%"	"1 vs 11..12: 100..0%
10 vs 97..98: 100..0%
100 vs 945..945: 100..0%"	"1 vs 11..11: 100..0%
10 vs 87..87: 100..0%
100 vs 826..827: 100..0%"	"1 vs 14..14: 100..0%
10 vs 108..109: 100..0%
100 vs 1057..1057: 100..0%"	"1 vs 8..9: 100..0%
10 vs 74..74: 100..0%
100 vs 711..711: 100..0%"	"1 vs 10..10: 100..0%
10 vs 78..79: 100..0%
100 vs 760..761: 100..0%"	"1 vs 15..16: 100..0%
10 vs 129..129: 100..0%
100 vs 1233..1233: 100..0%"	"1 vs 16..17: 100..0%
10 vs 130..131: 100..0%
100 vs 1275..1275: 100..0%"	"1 vs 18..19: 100..0%
10 vs 144..145: 100..0%
100 vs 1417..1418: 100..0%"	"1 vs 12..13: 100..0%
10 vs 97..98: 100..0%
100 vs 944..944: 100..0%"	"1 vs 11..12: 100..0%
10 vs 97..98: 100..0%
100 vs 934..935: 100..0%"	"1 vs 11..11: 100..0%
10 vs 86..87: 100..0%
100 vs 831..832: 100..0%"	"1 vs 16..17: 100..0%
10 vs 132..133: 100..0%
100 vs 1292..1292: 100..0%"	"1 vs 9..10: 100..0%
10 vs 79..80: 100..0%
100 vs 771..771: 100..0%"	"1 vs 10..11: 100..0%
10 vs 82..82: 100..0%
100 vs 782..783: 100..0%"	"1 vs 17..18: 100..0%
10 vs 146..146: 100..0%
100 vs 1380..1380: 100..0%"	"1 vs 20..21: 100..0%
10 vs 158..159: 100..0%
100 vs 1524..1525: 100..0%"	"1 vs 16..17: 100..0%
10 vs 132..132: 100..0%
100 vs 1275..1276: 100..0%"	"1 vs 22..23: 100..0%
10 vs 166..167: 100..0%
100 vs 1621..1621: 100..0%"	"1 vs 17..18: 100..0%
10 vs 136..137: 100..0%
100 vs 1325..1325: 100..0%"	"1 vs 17..18: 100..0%
10 vs 137..138: 100..0%
100 vs 1318..1318: 100..0%"	"1 vs 16..17: 100..0%
10 vs 125..126: 100..0%
100 vs 1226..1227: 100..0%"	"1 vs 19..19: 100..0%
10 vs 150..151: 100..0%
100 vs 1434..1435: 100..0%"	"1 vs 12..13: 100..0%
10 vs 102..103: 100..0%
100 vs 995..996: 100..0%"	"1 vs 39..40: 100..0%
10 vs 296..297: 100..0%
100 vs 2848..2848: 100..0%"	"1 vs 22..23: 100..0%
10 vs 177..178: 100..0%
100 vs 1726..1727: 100..0%"	"1 vs 19..20: 100..0%
10 vs 148..149: 100..0%
100 vs 1453..1453: 100..0%"	"1 vs 22..23: 100..0%
10 vs 177..178: 100..0%
100 vs 1727..1727: 100..0%"	"1 vs 19..20: 100..0%
10 vs 158..159: 100..0%
100 vs 1526..1527: 100..0%"	"1 vs 18..19: 100..0%
10 vs 150..151: 100..0%
100 vs 1448..1448: 100..0%"	"1 vs 19..19: 100..0%
10 vs 155..156: 100..0%
100 vs 1487..1488: 100..0%"	"1 vs 21..22: 100..0%
10 vs 171..171: 100..0%
100 vs 1663..1663: 100..0%"	"1 vs 16..17: 100..0%
10 vs 128..129: 100..0%
100 vs 1253..1253: 100..0%"	"1 vs 41..42: 100..0%
10 vs 312..313: 100..0%
100 vs 2965..2966: 100..0%"	"1 vs 24..24: 100..0%
10 vs 185..186: 100..0%
100 vs 1796..1797: 100..0%"	"1 vs 31..31: 100..0%
10 vs 237..237: 100..0%
100 vs 2303..2303: 100..0%"	"1 vs 48..48: 100..0%
10 vs 369..369: 100..0%
100 vs 3605..3605: 100..0%"	"1 vs 26..27: 100..0%
10 vs 198..199: 100..0%
100 vs 1913..1914: 100..0%"	"1 vs 24..25: 100..0%
10 vs 199..200: 100..0%
100 vs 1912..1913: 100..0%"	"1 vs 41..42: 100..0%
10 vs 325..325: 100..0%
100 vs 3118..3118: 100..0%"	"1 vs 30..31: 100..0%
10 vs 235..235: 100..0%
100 vs 2237..2238: 100..0%"	"1 vs 45..46: 100..0%
10 vs 341..342: 100..0%
100 vs 3332..3333: 100..0%"	"1 vs 8..9: 100..0%
10 vs 69..70: 100..0%
100 vs 672..673: 100..0%"	"1 vs 28..29: 100..0%
10 vs 222..223: 100..0%
100 vs 2121..2121: 100..0%"	"1 vs 31..32: 100..0%
10 vs 241..242: 100..0%
100 vs 2342..2343: 100..0%"	"1 vs 48..49: 100..0%
10 vs 362..362: 100..0%
100 vs 3569..3569: 100..0%"	"1 vs 30..30: 100..0%
10 vs 231..232: 100..0%
100 vs 2205..2206: 100..0%"	"1 vs 32..32: 100..0%
10 vs 234..235: 100..0%
100 vs 2312..2313: 100..0%"	"1 vs 42..42: 100..0%
10 vs 331..331: 100..0%
100 vs 3167..3167: 100..0%"	"1 vs 31..32: 100..0%
10 vs 241..242: 100..0%
100 vs 2338..2339: 100..0%"	"1 vs 53..53: 100..0%
10 vs 406..406: 100..0%
100 vs 3928..3928: 100..0%"	"1 vs 9..10: 100..0%
10 vs 73..74: 100..0%
100 vs 721..721: 100..0%"	"1 vs 27..28: 100..0%
10 vs 212..213: 100..0%
100 vs 2078..2078: 100..0%"	"1 vs 83..84: 100..0%
10 vs 636..636: 100..0%
100 vs 6119..6120: 100..0%"	"1 vs 45..46: 100..0%
10 vs 356..357: 100..0%
100 vs 3477..3477: 100..0%"	"1 vs 57..57: 100..0%
10 vs 421..422: 100..0%
100 vs 4129..4130: 100..0%"	"1 vs 63..64: 100..0%
10 vs 476..477: 100..0%
100 vs 4662..4662: 100..0%"	"1 vs 55..56: 100..0%
10 vs 419..420: 100..0%
100 vs 3998..3998: 100..0%"	"1 vs 53..53: 100..0%
10 vs 404..404: 100..0%
100 vs 3902..3903: 100..0%"	"1 vs 60..61: 100..0%
10 vs 474..475: 100..0%
100 vs 4573..4573: 100..0%"	"1 vs 53..54: 100..0%
10 vs 414..414: 100..0%
100 vs 3954..3954: 100..0%"	"1 vs 25..26: 100..0%
10 vs 195..196: 100..0%
100 vs 1946..1947: 100..0%"	"1 vs 83..84: 100..0%
10 vs 624..624: 100..0%
100 vs 6080..6080: 100..0%"	"1 vs 48..49: 100..0%
10 vs 372..372: 100..0%
100 vs 3585..3585: 100..0%"	"1 vs 58..59: 100..0%
10 vs 448..448: 100..0%
100 vs 4332..4332: 100..0%"	"1 vs 66..67: 100..0%
10 vs 489..490: 100..0%
100 vs 4771..4772: 100..0%"	"1 vs 65..66: 100..0%
10 vs 501..501: 100..0%
100 vs 4761..4762: 100..0%"	"1 vs 65..65: 100..0%
10 vs 478..478: 100..0%
100 vs 4615..4616: 100..0%"	"1 vs 66..67: 100..0%
10 vs 507..508: 100..0%
100 vs 5069..5069: 100..0%"	"1 vs 69..70: 100..0%
10 vs 510..511: 100..0%
100 vs 5001..5002: 100..0%"	"1 vs 29..30: 100..0%
10 vs 229..230: 100..0%
100 vs 2172..2173: 100..0%"	"1 vs 76..77: 100..0%
10 vs 591..592: 100..0%
100 vs 5678..5678: 100..0%"	"1 vs 78..78: 100..0%
10 vs 598..598: 100..0%
100 vs 5733..5733: 100..0%"	"1 vs 180..180: 100..0%
10 vs 1353..1354: 100..0%
100 vs 13313..13314: 100..0%"	"1 vs 171..171: 100..0%
10 vs 1280..1280: 100..0%
100 vs 12441..12441: 100..0%"	"1 vs 110..111: 100..0%
10 vs 878..879: 100..0%
100 vs 8430..8431: 100..0%"	"1 vs 116..117: 100..0%
10 vs 901..902: 100..0%
100 vs 8936..8936: 100..0%"	"1 vs 142..143: 100..0%
10 vs 1088..1089: 100..0%
100 vs 10911..10912: 100..0%"	"1 vs 106..106: 100..0%
10 vs 825..825: 100..0%
100 vs 7910..7910: 100..0%"	"1 vs 169..169: 100..0%
10 vs 1289..1290: 100..0%
100 vs 13008..13008: 100..0%"	"1 vs 92..93: 100..0%
10 vs 694..694: 100..0%
100 vs 6687..6688: 100..0%"	"1 vs 89..90: 100..0%
10 vs 676..676: 100..0%
100 vs 6684..6685: 100..0%"	"1 vs 182..182: 100..0%
10 vs 1369..1370: 100..0%
100 vs 13420..13421: 100..0%"	"1 vs 180..181: 100..0%
10 vs 1453..1453: 100..0%
100 vs 13989..13989: 100..0%"	"1 vs 112..113: 100..0%
10 vs 913..914: 100..0%
100 vs 8625..8625: 100..0%"	"1 vs 133..134: 100..0%
10 vs 1014..1015: 100..0%
100 vs 10020..10020: 100..0%"	"1 vs 154..155: 100..0%
10 vs 1241..1241: 100..0%
100 vs 11682..11682: 100..0%"	"1 vs 111..111: 100..0%
10 vs 857..857: 100..0%
100 vs 8362..8362: 100..0%"	"1 vs 221..221: 100..0%
10 vs 1663..1664: 100..0%
100 vs 16454..16455: 100..0%"
Gold Dragon	"1 vs 0..1: 100..0%
10 vs 8..9: 100..0%
100 vs 83..84: 100..0%"		"1 vs 0..1: 100..0%
10 vs 8..9: 100..0%
100 vs 87..88: 100..0%"	"1 vs 0..1: 100..0%
10 vs 8..9: 100..0%
100 vs 88..89: 100..0%"	"1 vs 2..3: 100..0%
10 vs 17..18: 100..0%
100 vs 174..174: 100..0%"	"1 vs 1..1: 100..0%
10 vs 9..10: 100..0%
100 vs 98..99: 100..0%"	"1 vs 1..2: 100..0%
10 vs 13..14: 100..0%
100 vs 132..133: 100..0%"	"1 vs 1..2: 100..0%
10 vs 12..13: 100..0%
100 vs 129..129: 100..0%"	"1 vs 2..3: 100..0%
10 vs 16..17: 100..0%
100 vs 164..164: 100..0%"	"1 vs 1..2: 100..0%
10 vs 14..15: 100..0%
100 vs 139..139: 100..0%"	"1 vs 1..2: 100..0%
10 vs 17..17: 100..0%
100 vs 173..173: 100..0%"	"1 vs 1..2: 100..0%
10 vs 18..19: 100..0%
100 vs 183..184: 100..0%"	"1 vs 1..2: 100..0%
10 vs 16..17: 100..0%
100 vs 162..163: 100..0%"	"1 vs 2..3: 100..0%
10 vs 21..22: 100..0%
100 vs 218..219: 100..0%"	"1 vs 1..2: 100..0%
10 vs 16..17: 100..0%
100 vs 156..157: 100..0%"	"1 vs 1..2: 100..0%
10 vs 20..20: 100..0%
100 vs 202..202: 100..0%"	"1 vs 2..3: 100..0%
10 vs 18..19: 100..0%
100 vs 185..185: 100..0%"	"1 vs 2..3: 100..0%
10 vs 20..21: 100..0%
100 vs 205..206: 100..0%"	"1 vs 3..4: 100..0%
10 vs 36..37: 100..0%
100 vs 345..346: 100..0%"	"1 vs 4..5: 100..0%
10 vs 37..38: 100..0%
100 vs 362..362: 100..0%"	"1 vs 3..4: 100..0%
10 vs 27..28: 100..0%
100 vs 264..265: 100..0%"	"1 vs 4..4: 100..NaN%
10 vs 34..35: 100..0%
100 vs 343..344: 100..0%"	"1 vs 3..4: 100..0%
10 vs 30..30: 100..0%
100 vs 291..291: 100..0%"	"1 vs 5..6: 100..0%
10 vs 46..46: 100..0%
100 vs 443..444: 100..0%"	"1 vs 6..7: 100..0%
10 vs 51..52: 100..0%
100 vs 511..511: 100..0%"	"1 vs 5..6: 100..0%
10 vs 46..46: 100..0%
100 vs 460..460: 100..0%"	"1 vs 5..6: 100..0%
10 vs 44..44: 100..0%
100 vs 442..443: 100..0%"	"1 vs 4..5: 100..0%
10 vs 39..40: 100..0%
100 vs 380..380: 100..0%"	"1 vs 4..5: 100..0%
10 vs 42..43: 100..0%
100 vs 408..408: 100..0%"	"1 vs 3..4: 100..0%
10 vs 34..35: 100..0%
100 vs 331..332: 100..0%"	"1 vs 5..6: 100..0%
10 vs 42..42: 100..0%
100 vs 410..411: 100..0%"	"1 vs 3..4: 100..0%
10 vs 31..32: 100..0%
100 vs 310..311: 100..0%"	"1 vs 5..6: 100..0%
10 vs 48..49: 100..0%
100 vs 471..472: 100..0%"	"1 vs 6..7: 100..0%
10 vs 54..55: 100..0%
100 vs 530..531: 100..0%"	"1 vs 6..7: 100..0%
10 vs 54..55: 100..0%
100 vs 526..527: 100..0%"	"1 vs 6..7: 100..0%
10 vs 53..54: 100..0%
100 vs 518..518: 100..0%"	"1 vs 12..13: 100..0%
10 vs 98..99: 100..0%
100 vs 986..986: 100..0%"	"1 vs 8..9: 100..0%
10 vs 73..74: 100..0%
100 vs 714..714: 100..0%"	"1 vs 9..10: 100..0%
10 vs 82..83: 100..0%
100 vs 799..799: 100..0%"	"1 vs 9..10: 100..0%
10 vs 72..73: 100..0%
100 vs 707..708: 100..0%"	"1 vs 12..12: 100..0%
10 vs 94..94: 100..0%
100 vs 896..896: 100..0%"	"1 vs 8..9: 100..0%
10 vs 62..62: 100..0%
100 vs 602..603: 100..0%"	"1 vs 8..9: 100..0%
10 vs 66..67: 100..0%
100 vs 646..646: 100..0%"	"1 vs 13..14: 100..0%
10 vs 110..111: 100..0%
100 vs 1055..1055: 100..0%"	"1 vs 14..15: 100..0%
10 vs 111..112: 100..0%
100 vs 1076..1077: 100..0%"	"1 vs 15..16: 100..0%
10 vs 124..125: 100..0%
100 vs 1211..1211: 100..0%"	"1 vs 10..11: 100..0%
10 vs 82..82: 100..0%
100 vs 783..784: 100..0%"	"1 vs 10..11: 100..0%
10 vs 81..82: 100..0%
100 vs 790..791: 100..0%"	"1 vs 9..10: 100..0%
10 vs 72..73: 100..0%
100 vs 709..710: 100..0%"	"1 vs 14..14: 100..0%
10 vs 111..112: 100..0%
100 vs 1093..1094: 100..0%"	"1 vs 8..9: 100..0%
10 vs 66..67: 100..0%
100 vs 643..644: 100..0%"	"1 vs 8..9: 100..0%
10 vs 69..70: 100..0%
100 vs 673..673: 100..0%"	"1 vs 15..16: 100..0%
10 vs 123..123: 100..0%
100 vs 1194..1194: 100..0%"	"1 vs 17..17: 100..0%
10 vs 134..135: 100..0%
100 vs 1284..1284: 100..0%"	"1 vs 14..15: 100..0%
10 vs 115..116: 100..0%
100 vs 1089..1090: 100..0%"	"1 vs 19..19: 100..0%
10 vs 142..143: 100..0%
100 vs 1374..1375: 100..0%"	"1 vs 15..15: 100..0%
10 vs 116..117: 100..0%
100 vs 1128..1129: 100..0%"	"1 vs 14..15: 100..0%
10 vs 116..116: 100..0%
100 vs 1114..1114: 100..0%"	"1 vs 13..14: 100..0%
10 vs 106..107: 100..0%
100 vs 1065..1065: 100..0%"	"1 vs 15..16: 100..0%
10 vs 126..127: 100..0%
100 vs 1226..1227: 100..0%"	"1 vs 11..12: 100..0%
10 vs 87..88: 100..0%
100 vs 860..860: 100..0%"	"1 vs 34..34: 100..0%
10 vs 248..248: 100..0%
100 vs 2403..2404: 100..0%"	"1 vs 19..20: 100..0%
10 vs 151..151: 100..0%
100 vs 1469..1470: 100..0%"	"1 vs 15..16: 100..0%
10 vs 127..127: 100..0%
100 vs 1224..1224: 100..0%"	"1 vs 18..19: 100..0%
10 vs 153..153: 100..0%
100 vs 1451..1452: 100..0%"	"1 vs 16..17: 100..0%
10 vs 136..136: 100..0%
100 vs 1291..1291: 100..0%"	"1 vs 16..16: 100..0%
10 vs 126..127: 100..0%
100 vs 1214..1215: 100..0%"	"1 vs 16..17: 100..0%
10 vs 131..132: 100..0%
100 vs 1266..1266: 100..0%"	"1 vs 18..19: 100..0%
10 vs 144..145: 100..0%
100 vs 1408..1408: 100..0%"	"1 vs 13..14: 100..0%
10 vs 108..109: 100..0%
100 vs 1071..1072: 100..0%"	"1 vs 34..35: 100..0%
10 vs 265..266: 100..0%
100 vs 2507..2508: 100..0%"	"1 vs 21..21: 100..0%
10 vs 159..160: 100..0%
100 vs 1540..1540: 100..0%"	"1 vs 26..26: 100..0%
10 vs 199..200: 100..0%
100 vs 1982..1982: 100..0%"	"1 vs 41..41: 100..0%
10 vs 313..313: 100..0%
100 vs 3089..3089: 100..0%"	"1 vs 21..22: 100..0%
10 vs 166..166: 100..0%
100 vs 1625..1625: 100..0%"	"1 vs 21..22: 100..0%
10 vs 169..170: 100..0%
100 vs 1647..1647: 100..0%"	"1 vs 35..35: 100..0%
10 vs 276..277: 100..0%
100 vs 2602..2603: 100..0%"	"1 vs 25..26: 100..0%
10 vs 197..197: 100..0%
100 vs 1920..1921: 100..0%"	"1 vs 38..39: 100..0%
10 vs 290..291: 100..0%
100 vs 2862..2862: 100..0%"	"1 vs 7..8: 100..0%
10 vs 57..57: 100..0%
100 vs 566..567: 100..0%"	"1 vs 23..24: 100..0%
10 vs 184..185: 100..0%
100 vs 1777..1777: 100..0%"	"1 vs 26..27: 100..0%
10 vs 206..206: 100..0%
100 vs 2008..2008: 100..0%"	"1 vs 40..40: 100..0%
10 vs 310..311: 100..0%
100 vs 3003..3004: 100..0%"	"1 vs 24..25: 100..0%
10 vs 192..193: 100..0%
100 vs 1858..1858: 100..0%"	"1 vs 27..27: 100..0%
10 vs 207..208: 100..0%
100 vs 2001..2001: 100..0%"	"1 vs 36..37: 100..0%
10 vs 279..280: 100..0%
100 vs 2665..2665: 100..0%"	"1 vs 26..27: 100..0%
10 vs 204..205: 100..0%
100 vs 2003..2004: 100..0%"	"1 vs 46..46: 100..0%
10 vs 343..344: 100..0%
100 vs 3288..3289: 100..0%"	"1 vs 7..8: 100..0%
10 vs 62..63: 100..0%
100 vs 606..607: 100..0%"	"1 vs 22..23: 100..0%
10 vs 175..176: 100..0%
100 vs 1709..1709: 100..0%"	"1 vs 68..69: 100..0%
10 vs 523..524: 100..0%
100 vs 5007..5008: 100..0%"	"1 vs 39..39: 100..0%
10 vs 292..293: 100..0%
100 vs 2865..2866: 100..0%"	"1 vs 47..48: 100..0%
10 vs 368..368: 100..0%
100 vs 3475..3476: 100..0%"	"1 vs 53..54: 100..0%
10 vs 401..402: 100..0%
100 vs 3936..3936: 100..0%"	"1 vs 45..46: 100..0%
10 vs 345..345: 100..0%
100 vs 3380..3381: 100..0%"	"1 vs 43..43: 100..0%
10 vs 339..339: 100..0%
100 vs 3311..3312: 100..0%"	"1 vs 51..52: 100..0%
10 vs 399..400: 100..0%
100 vs 3876..3877: 100..0%"	"1 vs 43..44: 100..0%
10 vs 345..346: 100..0%
100 vs 3278..3278: 100..0%"	"1 vs 21..22: 100..0%
10 vs 164..165: 100..0%
100 vs 1614..1614: 100..0%"	"1 vs 70..71: 100..0%
10 vs 526..527: 100..0%
100 vs 5139..5139: 100..0%"	"1 vs 41..42: 100..0%
10 vs 309..310: 100..0%
100 vs 3007..3008: 100..0%"	"1 vs 49..49: 100..0%
10 vs 379..379: 100..0%
100 vs 3600..3600: 100..0%"	"1 vs 54..55: 100..0%
10 vs 419..420: 100..0%
100 vs 3975..3976: 100..0%"	"1 vs 53..54: 100..0%
10 vs 414..415: 100..0%
100 vs 3894..3895: 100..0%"	"1 vs 51..52: 100..0%
10 vs 419..420: 100..0%
100 vs 3878..3879: 100..0%"	"1 vs 56..57: 100..0%
10 vs 427..428: 100..0%
100 vs 4308..4308: 100..0%"	"1 vs 58..59: 100..0%
10 vs 436..437: 100..0%
100 vs 4184..4185: 100..0%"	"1 vs 25..26: 100..0%
10 vs 191..192: 100..0%
100 vs 1817..1818: 100..0%"	"1 vs 66..66: 100..0%
10 vs 498..499: 100..0%
100 vs 4797..4798: 100..0%"	"1 vs 64..65: 100..0%
10 vs 507..508: 100..0%
100 vs 4818..4819: 100..0%"	"1 vs 154..154: 100..0%
10 vs 1125..1126: 100..0%
100 vs 10925..10926: 100..0%"	"1 vs 142..142: 100..0%
10 vs 1065..1065: 100..0%
100 vs 10487..10487: 100..0%"	"1 vs 91..91: 100..0%
10 vs 713..714: 100..0%
100 vs 7055..7055: 100..0%"	"1 vs 100..101: 100..0%
10 vs 764..764: 100..0%
100 vs 7244..7244: 100..0%"	"1 vs 121..122: 100..0%
10 vs 934..934: 100..0%
100 vs 8960..8961: 100..0%"	"1 vs 90..90: 100..0%
10 vs 667..668: 100..0%
100 vs 6536..6537: 100..0%"	"1 vs 136..137: 100..0%
10 vs 1070..1070: 100..0%
100 vs 10566..10566: 100..0%"	"1 vs 75..76: 100..0%
10 vs 578..579: 100..0%
100 vs 5698..5698: 100..0%"	"1 vs 74..75: 100..0%
10 vs 564..565: 100..0%
100 vs 5513..5514: 100..0%"	"1 vs 152..152: 100..0%
10 vs 1142..1143: 100..0%
100 vs 11173..11173: 100..0%"	"1 vs 151..152: 100..0%
10 vs 1175..1175: 100..0%
100 vs 11582..11582: 100..0%"	"1 vs 98..98: 100..0%
10 vs 772..772: 100..0%
100 vs 7353..7354: 100..0%"	"1 vs 112..112: 100..0%
10 vs 875..876: 100..0%
100 vs 8667..8667: 100..0%"	"1 vs 130..131: 100..0%
10 vs 985..985: 100..0%
100 vs 9913..9913: 100..0%"	"1 vs 90..91: 100..0%
10 vs 695..696: 100..0%
100 vs 6918..6919: 100..0%"	"1 vs 171..172: 100..0%
10 vs 1403..1403: 100..0%
100 vs 13218..13219: 100..0%"
